ID_HDC_G0;QA2_1V;AREA;BBX_LATMN;BBX_LONMN;BBX_LATMX;BBX_LONMX;GCPNT_LAT;GCPNT_LON;CTR_MN_NM;CTR_MN_ISO;XBRDR;XCTR_NBR;XC_NM_LST;XC_ISO_LST;GRGN_L1;GRGN_L2;UC_NM_MN;UC_NM_LST;UC_NM_SRC;H75_NBR;H90_NBR;H00_NBR;H75_AREA
1;1;185;21.24768326;-158.0430162;21.42219259;-157.7305288;21.34067769;-157.8934967;United States;USA;0;1;United States;USA;Northern America;Northern America;Honolulu;Honolulu;;;;;
2;2;42;-17.64118448;-149.6280882;-17.5176306;-149.508018;-17.53410288;-149.5680531;French Polynesia;PYF;0;1;French Polynesia;PYF;Oceania;Polynesia;Papeete;Papeete;GISCO OSM;0;1;1;0
3;1;55;34.85851712;-120.475511;34.98933425;-120.3891829;34.92312304;-120.4343724;United States;USA;0;1;United States;USA;Northern America;Northern America;Santa Maria;Santa Maria;GISCO OSM;0;1;1;0
4;1;48;36.58299715;-121.9522146;36.63574278;-121.8118164;36.60771997;-121.8823776;United States;USA;0;1;United States;USA;Northern America;Northern America;Monterey;Monterey;GISCO OSM;0;0;1;0
5;1;60;34.3882203;-119.8538547;34.45783072;-119.6584131;34.42766353;-119.7436927;United States;USA;0;1;United States;USA;Northern America;Northern America;Santa Barbara;Santa Barbara;GISCO OSM;0;1;1;0
6;1;57;36.94369719;-122.0671663;36.99653622;-121.8687297;36.97127374;-121.9786845;United States;USA;0;1;United States;USA;Northern America;Northern America;Santa Cruz;Santa Cruz;GISCO OSM;1;1;1;40
7;1;54;36.64453504;-121.6895178;36.74127479;-121.5837793;36.68899056;-121.6408306;United States;USA;0;1;United States;USA;Northern America;Northern America;Salinas;Salinas;GISCO OSM;1;1;1;41
8;1;136;34.13606475;-119.3212512;34.29254155;-119.1210056;34.2174855;-119.2091316;United States;USA;0;1;United States;USA;Northern America;Northern America;Oxnard;Oxnard;;;;;
9;1;21;36.89087193;-121.8026085;36.94369719;-121.727724;36.91958872;-121.7646884;United States;USA;0;1;United States;USA;Northern America;Northern America;Watsonville;Watsonville;GISCO OSM;0;0;0;0
10;1;1717;37.19921391;-122.5303992;38.06511304;-121.7342654;37.32711544;-121.9332989;United States;USA;0;1;United States;USA;Northern America;Northern America;San Jose;San Jose;;;;;
11;1;38;34.20559648;-119.0955114;34.24906479;-118.9607879;34.22938861;-119.0329294;United States;USA;0;1;United States;USA;Northern America;Northern America;Camarillo;Camarillo;GISCO OSM;0;0;1;0
12;1;105;34.13606475;-118.993479;34.23167645;-118.7309419;34.18196155;-118.8641047;United States;USA;0;1;United States;USA;Northern America;Northern America;Thousand Oaks;Thousand Oaks;GISCO OSM;0;1;1;0
13;1;77;37.90578524;-122.6077372;38.02969564;-122.4577017;37.96859272;-122.5273755;United States;USA;0;1;United States;USA;Northern America;Northern America;San Rafael;San Rafael;;;;;
14;1;5633;33.38994571;-118.6756433;34.32732907;-117.111532;33.95381355;-117.9539253;United States;USA;0;1;United States;USA;Northern America;Northern America;Los Angeles;Los Angeles;;;;;
15;1;35;38.21570891;-122.6853581;38.27775293;-122.5713166;38.24622195;-122.6323799;United States;USA;0;1;United States;USA;Northern America;Northern America;Petaluma;Petaluma;GISCO OSM;0;0;0;0
16;1;53;34.24037045;-118.8153297;34.30123792;-118.6545373;34.27227869;-118.740073;United States;USA;0;1;United States;USA;Northern America;Northern America;Simi Valley;Simi Valley;GISCO OSM;1;1;1;35
17;1;80;38.38416043;-122.7826757;38.48175223;-122.6273329;38.44448407;-122.7137258;United States;USA;0;1;United States;USA;Northern America;Northern America;Santa Rosa;Santa Rosa;GISCO OSM;1;1;1;57
18;1;412;37.6405259;-122.2975209;38.18026409;-121.8185914;37.91394614;-122.0483181;United States;USA;0;1;United States;USA;Northern America;Northern America;Concord;Concord;;;;;
19;1;36;32.3269853;-117.1071767;32.42185244;-117.0185263;32.37752852;-117.0591654;Mexico;MEX;0;1;Mexico;MEX;Latin America and the Caribbean;Central America;Rosarito;Rosarito;GISCO OSM;0;0;0;0
20;1;90;31.76716698;-116.6810092;31.9220644;-116.5467671;31.85349583;-116.6004579;Mexico;MEX;0;1;Mexico;MEX;Latin America and the Caribbean;Central America;Ensenada;Ensenada;GISCO OSM;1;1;1;35
21;1;1776;32.43047859;-117.4189156;33.26871446;-116.7901801;32.82158244;-117.1106947;United States;USA;1;2;United States;;;;;;;;;;
