X.U.FEFF.ID_HDC_G0;QA2_1V;AREA;BBX_LATMN;BBX_LONMN;BBX_LATMX;BBX_LONMX;GCPNT_LAT;GCPNT_LON;CTR_MN_NM;CTR_MN_ISO;XBRDR;XCTR_NBR;XC_NM_LST;XC_ISO_LST;GRGN_L1;GRGN_L2;UC_NM_MN;UC_NM_LST;UC_NM_SRC;H75_NBR;H90_NBR;H00_NBR;H75_AREA;H90_AREA;H00_AREA;E_BM_NM_LST;E_SL_LST;EL_AV_ALS;E_KG_NM_LST;E_RB_NM_LST;E_WR_P_90;E_WR_P_00;E_WR_P_14;E_WR_T_90;E_WR_T_00;E_WR_T_14
2;2;42;-17.64118448;-149.6280882;-17.5176306;-149.508018;-17.53410288;-149.5680531;French Polynesia;PYF;0;1;French Polynesia;PYF;Oceania;Polynesia;Papeete;Papeete;GISCO OSM;0;1;1;0;29;29;Tropical and Subtropical Moist Broadleaf Forests;NAN;33.69031803;NAN;NAN;1623.150055;1376.275009;1536.075012;21.90713358;22.04116774;22.02163267
3;1;55;34.85851712;-120.475511;34.98933425;-120.3891829;34.92312304;-120.4343724;United States;USA;0;1;United States;USA;Northern America;Northern America;Santa Maria;Santa Maria;GISCO OSM;0;1;1;0;50;53;Mediterranean Forests, Woodlands, and Scrub;Luvisols;87.12809223;Mild temperate with dry summer, and  Warm summer;NAN;315.3000069;416.9250107;245.1750011;13.84248376;13.21675515;14.71819115
4;1;48;36.58299715;-121.9522146;36.63574278;-121.8118164;36.60771997;-121.8823776;United States;USA;0;1;United States;USA;Northern America;Northern America;Monterey;Monterey;GISCO OSM;0;0;1;0;0;44;Mediterranean Forests, Woodlands, and Scrub;Phaeozems;38.54796203;Mild temperate with dry summer, and  Warm summer;NAN;297.7250099;481.5500031;324.9250069;14.01368928;13.86521363;15.27411008
5;1;60;34.3882203;-119.8538547;34.45783072;-119.6584131;34.42766353;-119.7436927;United States;USA;0;1;United States;USA;Northern America;Northern America;Santa Barbara;Santa Barbara;GISCO OSM;0;1;1;0;31;35;Mediterranean Forests, Woodlands, and Scrub;Luvisols;38.29809451;Mild temperate with dry summer, and  Warm summer;NAN;251.6750031;319.7000084;183.9250069;14.54504657;13.86678267;15.37690687
6;1;57;36.94369719;-122.0671663;36.99653622;-121.8687297;36.97127374;-121.9786845;United States;USA;0;1;United States;USA;Northern America;Northern America;Santa Cruz;Santa Cruz;GISCO OSM;1;1;1;40;42;56;Mediterranean Forests, Woodlands, and Scrub;Phaeozems;24.08581144;Mild temperate with dry summer, and  Warm summer;NAN;297.7250099;481.5500031;324.9250069;14.01368928;13.86521363;15.27411008
7;1;54;36.64453504;-121.6895178;36.74127479;-121.5837793;36.68899056;-121.6408306;United States;USA;0;1;United States;USA;Northern America;Northern America;Salinas;Salinas;GISCO OSM;1;1;1;41;49;53;Mediterranean Forests, Woodlands, and Scrub;Luvisols;21.30891932;Mild temperate with dry summer, and  Warm summer;Salinas;297.7250099;481.5500031;324.9250069;14.01368928;13.86521363;15.27411008
9;1;21;36.89087193;-121.8026085;36.94369719;-121.727724;36.91958872;-121.7646884;United States;USA;0;1;United States;USA;Northern America;Northern America;Watsonville;Watsonville;GISCO OSM;0;0;0;0;0;0;Mediterranean Forests, Woodlands, and Scrub;Phaeozems;19.73178283;Mild temperate with dry summer, and  Warm summer;NAN;297.7250099;481.5500031;324.9250069;14.01368928;13.86521363;15.27411008
11;1;38;34.20559648;-119.0955114;34.24906479;-118.9607879;34.22938861;-119.0329294;United States;USA;0;1;United States;USA;Northern America;Northern America;Camarillo;Camarillo;GISCO OSM;0;0;1;0;0;36;Mediterranean Forests, Woodlands, and Scrub;Luvisols;67.41640989;Mild temperate with dry summer, and  Hot summer;NAN;313.0999947;394.6500168;238.6750031;16.23272729;15.53166127;17.05357695
12;1;105;34.13606475;-118.993479;34.23167645;-118.7309419;34.18196155;-118.8641047;United States;USA;0;1;United States;USA;Northern America;Northern America;Thousand Oaks;Thousand Oaks;GISCO OSM;0;1;1;0;72;101;Mediterranean Forests, Woodlands, and Scrub;Luvisols;270.9833126;Mild temperate with dry summer, and  Warm summer;NAN;346.875;401.8249969;262.8000031;15.5053575;14.76368022;16.24344993
15;1;35;38.21570891;-122.6853581;38.27775293;-122.5713166;38.24622195;-122.6323799;United States;USA;0;1;United States;USA;Northern America;Northern America;Petaluma;Petaluma;GISCO OSM;0;0;0;0;0;0;Mediterranean Forests, Woodlands, and Scrub;Phaeozems;16.85365879;Mild temperate with dry summer, and  Warm summer;NAN;606.9500122;959.2750092;668.4000206;14.27060604;14.23627567;15.28851104
